番号,氏名,離職時の年齢,離職時の官職,出身府省庁（推定）,離職日,再就職日,再就職先の名称,再就職先の業務内容,再就職先における地位,求職の承認の有無,センター援助の有無
943,林　祥一郎,57,経済産業省大臣官房付,経済産業省,2022-07-01,2024-05-28,一般社団法人ビジネス機械・情報システム産業協会,ビジネス機械とそれに付随する情報サービス業の調査研究等,専務理事,無,無
944,石垣　宏毅,60,経済産業省大臣官房付,経済産業省,2023-03-31,2024-07-01,一般社団法人新金属協会,新金属に関する調査研究、情報の収集及び提供、内外関係機関等との交流及び協力等,専務理事,無,無
945,太田　聡,60,経済産業省製造産業局化学物質管理課化学兵器・麻薬原料等規制対策室長,経済産業省,2023-03-31,2024-07-01,一般社団法人繊維評価技術協議会,繊維製品の評価技術に関する調査及び標準化業務等,専務理事,無,無
946,金地　隆志,60,経済産業省産業技術環境局研究開発課技術評価調整官,経済産業省,2023-03-31,2024-05-21,一般財団法人日本塗料工業会,塗料工業の経営、塗料の技術・環境・安全等に関する調査研究及び塗料に関する普及啓発等,常務理事,無,無
947,佐藤　和男,60,東北経済産業局資源エネルギー環境部次長,経済産業省,2023-03-31,2024-04-01,国立大学法人東北大学,教育・研究,東北大学未来科学技術共同研究センター特任教授,無,無
948,鈴木　光弘,60,東北経済産業局産業部長,経済産業省,2023-03-31,2024-05-01,一般財団法人東北電気保安協会,電気設備の保安管理等,企画本部部長,無,無
949,鈴木　光弘,60,東北経済産業局産業部長,経済産業省,2023-03-31,2024-06-27,一般財団法人東北電気保安協会,電気設備の保安管理等,理事（企画本部長）,無,無
950,近村　淳,60,中国経済産業局産業部長,経済産業省,2023-03-31,2024-04-01,国立大学法人広島大学,教育・研究,広島大学産学連携部門長,無,無
951,中牟田　晃,60,九州経済産業局産業部長,経済産業省,2023-03-31,2024-04-01,国立大学法人九州工業大学,教育・研究,イノベーション本部産学イノベーションセンター長,無,有
952,原田　敏行,60,近畿経済産業局産業部長,経済産業省,2023-03-31,2024-04-01,高圧ガス保安協会,高圧ガスによる災害の防止に向け、その保安に関する調査、研究、指導、検査等,近畿支部事務局長,無,有
953,藤岡　伸嘉,60,経済産業省大臣官房付,経済産業省,2023-03-31,2024-05-23,一般社団法人日本自動車部品工業会,自動車部品製造業の振興,常務理事,無,無
954,藤岡　伸嘉,60,経済産業省大臣官房付,経済産業省,2023-03-31,2024-06-26,株式会社自動車部品会館,不動産賃貸業、損害保険代理業,取締役,無,無
955,青木　朋人,60,中国経済産業局長,経済産業省,2023-07-03,2024-07-01,一般財団法人機械振興協会,機械産業における経営の改善及び技術の向上に関する調査研究並びにその他機械産業の振興を図るための事業,常務理事 兼 事務局長 兼 企画室長,無,無
956,小澤　典明,58,資源エネルギー庁次長,経済産業省,2023-07-04,2024-04-01,株式会社IHI,製造業,執行役員,無,無
957,春日原　大樹,56,経済産業省大臣官房付,経済産業省,2023-07-04,2024-04-01,千代田化工建設株式会社,建設業,常務執行役員・社長補佐,無,無
958,角野　然生,58,経済産業省中小企業庁長官,経済産業省,2023-07-04,2024-04-01,伊藤忠商事株式会社,貿易業、売買業、仲立業等,執行役員,無,無
959,髙原　愼太郎,59,特許庁審査第二部長,特許庁,2023-07-04,2024-05-01,すばる特許事務所,弁理士業務,パートナー弁理士,無,無
960,滝本　浩司,56,経済産業省大臣官房付,経済産業省,2023-07-04,2024-06-24,一般財団法人中部電気保安協会,電気設備の保安管理等,専務理事,無,無
961,多田　明弘,60,経済産業事務次官,経済産業省,2023-07-04,2024-05-23,株式会社ライフコーポレーション,スーパーマーケットチェーン,取締役,無,無
962,田中　茂明,59,経済産業省大臣官房付,経済産業省,2023-07-04,2024-04-01,日本製鉄株式会社,製鉄事業,執行役員,無,無
963,平井　裕秀,59,経済産業審議官,経済産業省,2023-07-04,2024-04-01,株式会社日立製作所,電気・産業機械器具の製造・販売、情報通信・情報処理のサービス等,執行役常務,無,無
964,矢島　秀浩,56,経済産業省産業技術環境局産業技術環境政策統括調整官,経済産業省,2023-07-04,2024-06-07,一般財団法人電気安全環境研究所,電気用品等の安全性等の確保に関する認証等の事業,常務理事,無,無
965,木原　栄治,49,経済産業省大臣官房付,経済産業省,2023-07-21,2024-11-05,株式会社大東運輸,貨物自動車運送事業、棄物収集運搬業、警備業,常務取締役,無,無
966,江口　智子,42,経済産業省通商政策局通商機構部国際経済紛争対策室参事官補佐,経済産業省,2023-08-14,2025-02-01,独立行政法人国際協力機構,政府開発援助の実施業務等,ジュニア専門員,無,無
967,吉田　泰彦,60,経済産業省通商政策局通商交渉官,経済産業省,2023-10-31,2024-05-01,一般財団法人海外産業人材育成協会,主に開発途上国の産業人材を対象とした研修及び専門家派遣の実施,理事長補佐,無,無
968,吉田　泰彦,60,経済産業省通商政策局通商交渉官,経済産業省,2023-10-31,2024-06-18,一般財団法人海外産業人材育成協会,主に開発途上国の産業人材を対象とする研修及び専門家派遣の実施,理事長,無,無
969,高畠　昌明,59,資源エネルギー庁廃炉・汚染水・処理水特別対策監,経済産業省,2023-12-31,2024-04-01,一般財団法人東北電気保安協会,電気設備の保安管理等,企画本部部長,無,無
970,高畠　昌明,59,資源エネルギー庁廃炉・汚染水・処理水特別対策監,経済産業省,2023-12-31,2024-06-27,一般財団法人東北電気保安協会,電気設備の保安管理等,専務理事,無,無
971,吉川　徹志,58,経済産業省通商政策局通商交渉官,経済産業省,2023-12-31,2024-04-01,一般財団法人日本自動車研究所,自動車に関する研究,参与,無,無
972,和田　恭,55,経済産業省産業技術環境局総務課産業技術政策上席企画調整官,総務省,2023-12-31,2024-04-01,日本発条株式会社,懸架ばね、自動車用シート、精密ばね、HDD用サスペンション・機構部品、産業機器の製造販売,技術本部技術統括部主管,無,無
973,及川　洋,59,経済産業省商務情報政策局商務・サービスグループ首席国際博覧会統括調整官,経済産業省,2024-01-31,2024-05-01,日本アルコール販売株式会社,工業用アルコール及び関連製品の製造、販売、輸入,秘書室部長,無,無
974,及川　洋,59,経済産業省商務情報政策局商務・サービスグループ首席国際博覧会統括調整官,経済産業省,2024-01-31,2024-06-01,日本アルコール販売株式会社,工業用アルコール及び関連製品の製造、販売、輸入,執行役員（営業部部長）,無,無
975,及川　洋,59,経済産業省商務情報政策局商務・サービスグループ首席国際博覧会統括調整官,経済産業省,2024-01-31,2024-06-01,日本合成アルコール株式会社,工業用合成アルコール（エタノール）の製造、販売,品質保証室長,無,無
976,及川　洋,59,経済産業省商務情報政策局商務・サービスグループ首席国際博覧会統括調整官,経済産業省,2024-01-31,2024-10-01,自営,アドバイザー、コンサルタント,-,無,無
977,五十嵐　悟,60,関東経済産業局地域経済部長,経済産業省,2024-03-31,2024-07-01,武州ガス株式会社,都市ガス事業等,支援ユニット長 兼 社長室長,無,無
978,一倉　正仁,60,関東経済産業局総務企画部付,総務省,2024-03-31,2024-07-01,株式会社足利銀行,金融業,参与,無,無
979,伊藤　周広,60,中部経済産業局資源エネルギー環境部長,経済産業省,2024-03-31,2024-07-01,一般財団法人東海技術センター,公害防止等のための測定分析,嘱託職員（総務部部長）,無,無
980,伊藤　周広,60,中部経済産業局資源エネルギー環境部長,経済産業省,2024-03-31,2024-10-01,一般財団法人東海技術センター,公害防止等のための測定分析,参与,無,無
981,稲原　宏昭,60,中国経済産業局資源エネルギー環境部長,経済産業省,2024-03-31,2024-04-15,自営,旅、自転車、スポーツ、酒、音楽、コミュニティに関する企画・運営,-,無,無
982,井上　宏一,60,経済産業省産業技術環境局総務課国際室長,総務省,2024-03-31,2024-07-01,一般社団法人日本食品機械工業会,食品機械の調査・研究、同産業の発展に資する各種活動等,専務理事,無,無
983,井上　茂夫,60,特許庁審判部審判長（第14部門）,特許庁,2024-03-31,2024-04-01,特許庁,国家公務,調査員,無,無
984,岩崎　政典,60,経済産業省大臣官房付,経済産業省,2024-03-31,2024-07-21,一般社団法人日本スポーツ用品工業協会,スポーツ用品に関する調査及び研究等,事務局長,無,無
985,神戸　浩,60,経済産業省経済産業政策局地域経済産業グループ業務管理官室長,経済産業省,2024-03-31,2024-07-01,一般社団法人全日本冠婚葬祭互助協会,冠婚葬祭互助会事業に関する調査・研究等,参与,無,無
986,工藤　浩一,60,関東経済産業局産業部長,経済産業省,2024-03-31,2024-07-01,東京東信用金庫,金融業,お客様サポート部部付部長,無,無
987,久保　克彦,60,特許庁審判部審判長（第14部門）,特許庁,2024-03-31,2024-04-01,特許庁,国家公務,調査員,無,無
988,小林　裕和,60,特許庁審判部審判長（第34部門）,特許庁,2024-03-31,2024-04-01,特許庁,国家公務,調査員,無,無
989,坂元　耕三,60,九州産業保安監督部長,経済産業省,2024-03-31,2024-07-01,一般財団法人日本規格協会,標準化及び管理技術に関する開発・普及・啓発,標準化企画・管理ユニット長,無,無
990,柴谷　昌宏,60,経済産業省大臣官房付,経済産業省,2024-03-31,2024-07-01,一般財団法人日本エネルギー経済研究所,国内外のエネルギー経済及びエネルギー・環境政策並びにこれらの関連する諸情勢の調査・研究,クリーンエネルギーユニット国際連携グループマネージャー,無,無
